bergeys_taxID;bergeys_genus;bergeys_species;bergeys_speciesStrain;bergeys_misclassified;bergeys_oxygen;bergeys_doublingH
29380;Staphylococcus;Staphylococcus caprae;Staphylococcus caprae;;facultative;
1281;Staphylococcus;Staphylococcus carnosus;Staphylococcus carnosus;;aerobic;
46126;Staphylococcus;Staphylococcus chromogenes;Staphylococcus chromogenes;;facultative;
29382;Staphylococcus;Staphylococcus cohnii;Staphylococcus cohnii;;facultative;
70255;Staphylococcus;Staphylococcus condimenti;Staphylococcus condimenti;;aerobic;
53344;Staphylococcus;Staphylococcus delphini;Staphylococcus delphini;;facultative;
1282;Staphylococcus;Staphylococcus epidermidis;Staphylococcus epidermidis;;facultative;
246432;Staphylococcus;Staphylococcus equorum;Staphylococcus equorum;;aerobic;
46127;Staphylococcus;Staphylococcus felis;Staphylococcus felis;;facultative;
150056;Staphylococcus;Staphylococcus fleurettii;Staphylococcus fleurettii;;facultative;
1293;Staphylococcus;Staphylococcus gallinarum;Staphylococcus gallinarum;;facultative;
1283;Staphylococcus;Staphylococcus haemolyticus;Staphylococcus haemolyticus;;facultative;
1290;Staphylococcus;Staphylococcus hominis;Staphylococcus hominis;;aerobic;
1284;Staphylococcus;Staphylococcus hyicus;Staphylococcus hyicus;;facultative;
1285;Staphylococcus;Staphylococcus intermedius;Staphylococcus intermedius;;facultative;
29384;Staphylococcus;Staphylococcus kloosii;Staphylococcus kloosii;;aerobic;
42858;Staphylococcus;Staphylococcus lentus;Staphylococcus lentus;;facultative;
28035;Staphylococcus;Staphylococcus lugdunensis;Staphylococcus lugdunensis;;facultative;
155085;Staphylococcus;Staphylococcus lutrae;Staphylococcus lutrae;;facultative;
1294;Staphylococcus;Staphylococcus muscae;Staphylococcus muscae;;facultative;
214473;Staphylococcus;Staphylococcus nepalensis;Staphylococcus nepalensis;;facultative;
45972;Staphylococcus;Staphylococcus pasteuri;Staphylococcus pasteuri;;facultative;
70258;Staphylococcus;Staphylococcus piscifermentans;Staphylococcus piscifermentans;;facultative;
33028;Staphylococcus;Staphylococcus saccharolyticus;Staphylococcus saccharolyticus;;anaerobic;
29385;Staphylococcus;Staphylococcus saprophyticus;Staphylococcus saprophyticus;;facultative;
1295;Staphylococcus;Staphylococcus schleiferi;Staphylococcus schleiferi;;facultative;
1296;Staphylococcus;Staphylococcus sciuri;Staphylococcus sciuri;;facultative;
308354;Staphylococcus;Staphylococcus simiae;Staphylococcus simiae;;anaerobic;
1286;Staphylococcus;Staphylococcus simulans;Staphylococcus simulans;;facultative;
61015;Staphylococcus;Staphylococcus succinus;Staphylococcus succinus;;anaerobic;
71237;Staphylococcus;Staphylococcus vitulinus;Staphylococcus vitulinus;;anaerobic;
1292;Staphylococcus;Staphylococcus warneri;Staphylococcus warneri;;facultative;
