key;GCA;GCF;larger
2322;3597;3327;GCA
2323;3704;3729;GCF
2324;3263;3311;GCF
2325;3819;3842;GCF
2326;3803;3688;GCA
2327;4673;4663;GCA
2328;4830;4697;GCA
2329;4775;4785;GCF
2330;2146;2142;GCA
2331;4297;4142;GCA
2332;2309;2280;GCA
2333;4966;4897;GCA
2334;4948;4927;GCA
2335;3664;3680;GCF
2336;3199;3222;GCF
2337;1548;1508;GCA
2338;4134;4099;GCA
2339;3490;3494;GCF
2340;2878;2870;GCA
2341;2751;2483;GCA
2342;1585;1543;GCA
2343;221;221;same
2344;3429;3461;GCF
2345;2434;2404;GCA
2346;1496;1508;GCF
2347;2927;2869;GCA
2348;3502;3427;GCA
2349;2869;2806;GCA
2350;2089;2093;GCF
2351;2147;2095;GCA
2352;2162;2168;GCF
2353;2046;2059;GCF
2354;4772;4668;GCA
2355;5636;5627;GCA
2356;2871;2842;GCA
2357;2344;2258;GCA
2358;1827;1773;GCA
2359;1597;1648;GCF
2360;2420;2374;GCA
2361;4271;4264;GCA
2362;4203;4187;GCA
2363;1911;1930;GCF
2364;1746;1765;GCF
2365;1965;1924;GCA
2366;1816;1835;GCF
2367;1926;1838;GCA
2368;1755;1725;GCA
2369;5006;4904;GCA
2370;4612;4535;GCA
2371;4066;4097;GCF
2372;5263;5283;GCF
2373;3774;3711;GCA
2374;4976;5046;GCF
2375;4601;5125;GCF
2376;5574;5506;GCA
2377;4968;4868;GCA
2378;3389;3438;GCF
2379;4396;4284;GCA
2380;3292;3303;GCF
2381;4882;4708;GCA
2382;4964;4705;GCA
2383;3772;3747;GCA
2384;4505;4505;same
2385;3190;2995;GCA
2386;3919;3945;GCF
2387;4011;4000;GCA
2388;3640;3615;GCA
2389;3131;3159;GCF
2390;4203;4139;GCA
2391;5583;5521;GCA
2392;3841;3813;GCA
2393;5550;5485;GCA
2394;4566;4584;GCF
2395;4745;4679;GCA
2396;4788;4561;GCA
2397;2407;2387;GCA
2398;3731;3777;GCF
2399;3341;3315;GCA
2400;3210;3220;GCF
2401;5357;5405;GCF
2402;3796;3712;GCA
2403;4187;4007;GCA
2404;2325;2195;GCA
2405;2211;2028;GCA
2406;1825;1737;GCA
2407;1577;1576;GCA
2408;1726;1697;GCA
2409;1834;1821;GCA
2410;1865;1806;GCA
2411;1597;1708;GCF
2412;5032;5111;GCF
2413;4169;4236;GCF
2414;4598;4792;GCF
2415;3347;3325;GCA
2416;5165;5158;GCA
2417;3000;2809;GCA
2418;2479;2613;GCF
2419;1986;1935;GCA
2420;1968;1915;GCA
2421;3980;3907;GCA
2422;3664;3659;GCA
2423;3894;3968;GCF
2424;3965;3840;GCA
2425;1979;1965;GCA
2426;3699;3721;GCF
2427;3638;3687;GCF
2428;3905;3977;GCF
2429;3641;3533;GCA
2430;4359;4245;GCA
2431;4347;4146;GCA
2432;5516;5412;GCA
2433;4194;4188;GCA
2434;4353;4514;GCF
2435;3756;3719;GCA
2436;5160;5070;GCA
2437;5684;5690;GCF
2438;4919;4904;GCA
2439;4049;4010;GCA
2440;4357;4358;GCF
2441;5149;5138;GCA
2442;5467;5514;GCF
2443;4758;4764;GCF
2444;3904;3823;GCA
2445;4300;4171;GCA
2446;4220;4265;GCF
2447;6802;6795;GCA
2448;2970;2980;GCF
2449;5368;5040;GCA
2450;5147;5153;GCF
2451;4708;4683;GCA
2452;5712;5741;GCF
2453;5685;5664;GCA
2454;9097;7868;GCA
2455;4682;4667;GCA
2456;5151;5038;GCA
2457;2259;2160;GCA
2458;2624;2624;same
2459;4493;4486;GCA
2460;2688;2694;GCF
2461;3213;3211;GCA
2462;4128;4003;GCA
2463;3692;3589;GCA
2464;3815;3766;GCA
2465;3547;3568;GCF
2466;3955;3938;GCA
2467;3055;3122;GCF
2468;3216;3209;GCA
2469;3145;3206;GCF
2470;8191;7931;GCA
2471;8579;8322;GCA
2472;8035;7813;GCA
2473;8304;8049;GCA
2474;8505;8131;GCA
2475;8538;8033;GCA
2476;3872;3847;GCA
2477;4178;4191;GCF
2478;2910;2848;GCA
2479;2936;2942;GCF
2480;3192;3192;same
2481;3597;3599;GCF
2482;3915;3845;GCA
2483;3186;3092;GCA
2484;2112;2099;GCA
2485;1963;1984;GCF
2486;1962;1960;GCA
2487;1946;1922;GCA
2488;1705;1709;GCF
2489;1631;1627;GCA
2490;3559;3544;GCA
2491;4252;4173;GCA
2492;4180;4032;GCA
2493;3938;3934;GCA
2494;3937;3930;GCA
2495;4116;4542;GCF
2496;3901;3848;GCA
2497;4416;4351;GCA
2498;5143;4945;GCA
2499;4289;4210;GCA
2500;4264;4380;GCF
2501;1698;1680;GCA
2502;1699;1611;GCA
2503;2005;1925;GCA
2504;1597;1547;GCA
2505;1729;1619;GCA
2506;2180;1705;GCA
2507;1761;1673;GCA
2508;2090;1854;GCA
2509;1991;1818;GCA
2510;3672;3658;GCA
2511;7049;7182;GCF
2512;5311;4903;GCA
2513;2825;2445;GCA
2514;2454;2166;GCA
2515;2080;2101;GCF
2516;2658;2570;GCA
2517;2527;2284;GCA
2518;2456;2357;GCA
2519;2575;2300;GCA
2520;2958;2947;GCA
2521;2337;2325;GCA
2522;2619;2321;GCA
2523;2430;2402;GCA
2524;3062;2836;GCA
2525;2832;2791;GCA
2526;2335;1996;GCA
2527;2215;2179;GCA
2528;2710;2591;GCA
2529;2071;2095;GCF
2530;244;2561;GCF
2531;2577;2364;GCA
2532;2690;2737;GCF
2533;2939;2415;GCA
2534;2437;2389;GCA
2535;2852;2476;GCA
2536;2352;2315;GCA
2537;5093;5100;GCF
2538;4403;4658;GCF
2539;2439;2517;GCF
2540;2544;2603;GCF
2541;2248;2195;GCA
2542;2783;2832;GCF
2543;3895;3854;GCA
2544;2081;2103;GCF
2545;2836;2873;GCF
2546;2971;2905;GCA
2547;3450;3247;GCA
2548;7070;7070;same
2549;3541;3504;GCA
2550;4521;4253;GCA
2551;4676;4380;GCA
2552;5638;5563;GCA
2553;4638;4624;GCA
2554;6020;5916;GCA
2555;5694;5746;GCF
2556;5316;5321;GCF
2557;4401;4378;GCA
2558;6241;6195;GCA
2559;4737;4634;GCA
2560;5467;5351;GCA
2561;5390;5352;GCA
2562;5979;5975;GCA
2563;5082;5024;GCA
2564;6593;6745;GCF
2565;4928;4890;GCA
2566;4980;4939;GCA
2567;6340;5843;GCA
2568;5913;5866;GCA
2569;5108;5108;same
2570;5818;5771;GCA
2571;5093;5078;GCA
2572;5656;5609;GCA
2573;5322;5254;GCA
2574;3275;3463;GCF
2575;5581;5456;GCA
2576;5981;6026;GCF
2577;3092;3049;GCA
2578;4565;4566;GCF
2579;5077;5076;GCA
2580;6111;6111;same
2581;5895;5730;GCA
2582;5674;5523;GCA
2583;2882;2857;GCA
2584;4880;4849;GCA
2585;3799;3750;GCA
2586;4811;4975;GCF
2587;5858;5757;GCA
2588;3594;3571;GCA
2589;5171;5158;GCA
2590;5137;5128;GCA
2591;5447;5437;GCA
2592;5372;5372;same
2593;5634;5717;GCF
2594;5158;4914;GCA
2595;6279;6174;GCA
2596;4502;4239;GCA
2597;5190;5209;GCF
2598;5080;5049;GCA
2599;6143;6071;GCA
2600;5284;5093;GCA
2601;3879;3840;GCA
2602;5056;4999;GCA
2603;5854;5809;GCA
2604;6224;6167;GCA
2605;4318;4330;GCF
2606;3736;3757;GCF
2607;5595;5500;GCA
2608;3407;3407;same
2609;6155;6138;GCA
2610;5167;5254;GCF
2611;4256;4208;GCA
2612;2858;2809;GCA
2613;4806;4766;GCA
2614;5053;5146;GCF
2615;3434;3426;GCA
2616;5402;5359;GCA
2617;4782;4793;GCF
2618;4434;4399;GCA
2619;5503;5195;GCA
2620;5603;5568;GCA
2621;3624;3593;GCA
2622;4335;4266;GCA
2623;5425;5428;GCF
2624;4570;4534;GCA
2625;4275;4282;GCF
2626;4300;4265;GCA
2627;6160;6046;GCA
2628;5180;5131;GCA
2629;4352;4244;GCA
2630;4776;4885;GCF
2631;5900;5884;GCA
2632;6850;6250;GCA
2633;4270;4261;GCA
2634;3935;3862;GCA
2635;3246;3225;GCA
2636;6148;6114;GCA
2637;6906;6898;GCA
2638;7784;7359;GCA
2639;4105;4155;GCF
2640;3485;3485;same
2641;3994;4005;GCF
2642;6696;6595;GCA
2643;7504;7429;GCA
2644;3300;3281;GCA
2645;4719;4582;GCA
2646;5695;5452;GCA
2647;1779;1731;GCA
2648;2145;2145;same
2649;2678;2694;GCF
2650;4684;4535;GCA
2651;5411;5305;GCA
2652;3634;3654;GCF
2653;4476;4418;GCA
2654;4323;4298;GCA
2655;3118;3142;GCF
2656;3003;3131;GCF
2657;3655;3648;GCA
2658;2741;2745;GCF
2659;3322;3376;GCF
2660;3646;3644;GCA
2661;2979;3000;GCF
2662;3369;3404;GCF
2663;1495;1486;GCA
2664;4294;4348;GCF
2665;2677;2694;GCF
2666;2511;2500;GCA
2667;2458;2465;GCF
2668;2337;2305;GCA
2669;2561;2594;GCF
2670;2953;2980;GCF
2671;2463;2424;GCA
2672;2296;2246;GCA
2673;2667;2656;GCA
2674;2521;2523;GCF
2675;2663;2615;GCA
2676;2893;3304;GCF
2677;2966;2794;GCA
2678;1285;1285;same
2679;3631;3602;GCA
2680;5807;5835;GCF
2681;2829;2835;GCF
2682;4022;3817;GCA
2683;2970;3021;GCF
2684;4275;4117;GCA
2685;4169;4189;GCF
2686;3866;3857;GCA
2687;3285;3292;GCF
2688;3725;3648;GCA
2689;2827;2725;GCA
2690;1997;2136;GCF
2691;3094;3040;GCA
2692;4586;4481;GCA
2693;3946;3852;GCA
2694;2685;2675;GCA
2695;3416;3383;GCA
2696;5227;5250;GCF
2697;4552;4689;GCF
2698;4799;4840;GCF
2699;5404;5362;GCA
2700;5799;5722;GCA
2701;4254;4277;GCF
2702;5857;5601;GCA
2703;5940;5803;GCA
2704;5394;5407;GCF
2705;3628;3631;GCF
2706;2609;2550;GCA
2707;2651;2667;GCF
2708;3804;3755;GCA
2709;5786;5589;GCA
2710;3576;3555;GCA
2711;3030;3088;GCF
2712;3656;3626;GCA
2713;6710;6664;GCA
2714;7356;6786;GCA
2715;5545;5287;GCA
2716;6422;6378;GCA
2717;4412;4468;GCF
2718;6128;6018;GCA
2719;6248;6186;GCA
2720;4531;4554;GCF
2721;4088;4116;GCF
2722;5913;5563;GCA
2723;5955;5890;GCA
2724;6427;6206;GCA
2725;6801;6744;GCA
2726;4578;4557;GCA
2727;6278;6120;GCA
2728;6059;6014;GCA
2729;6189;5869;GCA
2730;4659;4664;GCF
2731;5050;5009;GCA
2732;3101;3068;GCA
2733;3640;3554;GCA
2734;3325;3345;GCF
2735;4633;4576;GCA
2736;3609;3520;GCA
2737;3648;3562;GCA
2738;5828;5767;GCA
2739;7681;7430;GCA
2740;4314;4326;GCF
2741;3020;2995;GCA
2742;3301;3239;GCA
2743;3669;3686;GCF
2744;5517;5165;GCA
2745;3749;3716;GCA
2746;3958;3854;GCA
2747;2976;2929;GCA
2748;3719;3692;GCA
2749;3242;3232;GCA
2750;3048;3021;GCA
2751;4232;4184;GCA
2752;4764;4754;GCA
2753;5621;5346;GCA
2754;5735;5663;GCA
2755;2684;2728;GCF
2756;5247;3830;GCA
2757;4228;4221;GCA
2758;2921;2895;GCA
2759;3528;3527;GCA
2760;4124;4519;GCF
2761;1445;1433;GCA
2762;1167;1167;same
2763;5664;5636;GCA
2764;4226;4129;GCA
2765;3270;3055;GCA
2766;4150;4124;GCA
2767;2293;2282;GCA
2768;2382;2383;GCF
2769;1891;1828;GCA
2770;2560;2545;GCA
2771;2347;2363;GCF
2772;3306;3209;GCA
2773;3476;3419;GCA
2774;4010;3945;GCA
2775;3586;3535;GCA
2776;3857;3853;GCA
2777;3771;3743;GCA
2778;5033;4931;GCA
2779;3490;3349;GCA
2780;2697;2698;GCF
2781;2077;2052;GCA
2782;2160;2150;GCA
2783;2020;1880;GCA
2784;2832;2814;GCA
2785;2255;2281;GCF
2786;2839;2811;GCA
2787;4808;4797;GCA
2788;5339;5240;GCA
2789;3062;3080;GCF
2790;2969;2887;GCA
2791;4754;4745;GCA
2792;4622;4615;GCA
2793;4591;4595;GCF
2794;4674;4671;GCA
2795;4714;4735;GCF
2796;3917;3820;GCA
2797;4003;3921;GCA
2798;3097;3086;GCA
2799;3518;3464;GCA
2800;3361;3343;GCA
2801;3380;3473;GCF
2802;3311;3315;GCF
2803;4283;4199;GCA
2804;3944;3879;GCA
2805;3661;3645;GCA
2806;5503;5238;GCA
2807;3970;3920;GCA
2808;3958;3892;GCA
2809;3952;3929;GCA
2810;4429;4413;GCA
2811;4268;4247;GCA
2812;4039;4027;GCA
2813;4082;4027;GCA
2814;3779;3730;GCA
2815;4649;4523;GCA
2816;6312;6271;GCA
2817;5930;5901;GCA
2818;5936;5615;GCA
2819;4474;4418;GCA
2820;4169;4242;GCF
2821;2893;2893;same
2822;4168;4068;GCA
2823;4422;4291;GCA
2824;4692;4283;GCA
2825;2293;2182;GCA
2826;3317;3337;GCF
2827;3692;3724;GCF
2828;3380;3377;GCA
2829;3808;3783;GCA
2830;4225;4132;GCA
2831;4205;4250;GCF
2832;6246;6023;GCA
2833;4967;4942;GCA
2834;5064;5019;GCA
2835;7916;7891;GCA
2836;2149;2146;GCA
2837;1720;1690;GCA
2838;1648;1670;GCF
2839;2005;1992;GCA
2840;1799;1735;GCA
2841;3662;3677;GCF
2842;4742;4611;GCA
2843;4285;4339;GCF
2844;2867;2808;GCA
2845;3782;3779;GCA
2846;1871;1897;GCF
2847;3485;3464;GCA
2848;3407;3223;GCA
2849;4624;4695;GCF
2850;3680;3692;GCF
2851;4008;4012;GCF
2852;3757;3584;GCA
2853;3601;3610;GCF
2854;3829;3817;GCA
2855;4916;4928;GCF
2856;3523;3395;GCA
2857;4018;3870;GCA
2858;3518;3526;GCF
2859;3780;3659;GCA
2860;3709;3728;GCF
2861;4751;4773;GCF
2862;3993;4234;GCF
2863;4635;4668;GCF
2864;4045;4039;GCA
2865;4732;4758;GCF
2866;5877;5587;GCA
2867;3280;3167;GCA
2868;4032;4026;GCA
2869;4232;4060;GCA
2870;3649;3528;GCA
2871;3813;3638;GCA
2872;4579;4625;GCF
2873;3444;3326;GCA
2874;4215;4271;GCF
2875;3630;3589;GCA
2876;3257;3321;GCF
2877;4550;4636;GCF
2878;4615;4506;GCA
2879;3394;3520;GCF
2880;5220;5188;GCA
2881;3345;3280;GCA
2882;13;2598;GCF
2883;3811;3800;GCA
2884;2894;2854;GCA
2885;3646;3542;GCA
2886;2795;2724;GCA
2887;4291;4206;GCA
2888;3525;3604;GCF
2889;2356;2367;GCF
2890;3660;3606;GCA
2891;3219;3251;GCF
2892;3018;3017;GCA
2893;3698;3642;GCA
2894;4067;4113;GCF
2895;3582;3463;GCA
2896;2280;2301;GCF
2897;3082;3064;GCA
